elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
2.64094,-0.973243,4.31862,4.92991,6.15702,-2.3323,0.140212,-0.407031,0.865291,-0.673939,0.321279,-0.0714651,0.661422
-2.57321,-2.69986,-0.819494,-3.29476,-3.04704,3.59197,0.902667,0.507554,0.122896,0.512756,0.461714,-0.176468,0.701969
-3.01694,-6.01419,2.55944,2.14836,1.34398,0.311902,-0.165874,-0.22271,-0.079911,0.838733,-0.516517,0.0293047,-0.169937
2.81142,-1.1181,5.87706,-0.482335,3.18935,-0.0376114,-0.402407,0.0768821,1.34816,0.510236,-0.466926,0.301809,0.656164
-2.22312,2.5099,6.27178,-0.655365,-3.24471,-4.18204,0.696096,0.815363,-0.503172,0.364225,-0.563713,0.70439,-0.23109
-0.832167,5.81986,1.37614,1.7153,-2.4532,-4.60269,0.670344,-0.6112,0.143068,-0.654279,0.47744,0.239133,0.535524
-1.52655,3.71775,2.44774,2.27873,-0.286402,2.43028,0.284459,0.0400591,0.675675,0.780973,-0.0862199,-0.618564,-0.00510801
-1.38198,-0.552199,-5.54152,-4.83925,1.67373,5.95545,0.338746,-0.908657,0.286246,0.0347518,0.049126,0.256508,0.964667
0.0254438,3.44446,-2.36833,-0.808245,-5.54301,0.808047,-0.275932,0.253267,-0.275973,0.0993591,-0.633144,0.505271,0.57789
-1.26593,-3.14171,2.80295,0.613012,4.40685,-3.72991,0.0687161,0.245013,0.285295,0.792924,-0.0203241,0.36715,0.485858
0.0439396,3.03559,-1.40595,-1.22774,-2.05847,1.64808,-0.789007,0.084962,-0.524713,0.799791,0.181986,0.538699,-0.192404
2.61817,-4.51771,1.04403,-2.09407,4.66678,-2.2186,0.630453,-0.55878,-0.620851,0.763343,-0.494916,-0.412561,0.046477
-1.45369,4.51994,-4.03291,-1.30262,-5.16604,-3.36327,0.287594,-0.516918,0.508734,-0.0354631,0.908837,0.318866,-0.266614
1.3222,2.12623,-5.73454,2.06955,-4.18572,-1.12731,-0.286823,-0.66022,-0.500198,0.61621,0.743174,-0.124702,-0.228969
-2.36712,2.59268,-0.937098,-5.49151,1.4711,2.37269,0.656632,0.382575,-0.690583,-0.330836,-0.268699,0.904004,0.0335401
-0.610488,4.46514,-0.322931,1.6848,5.29129,-1.88389,-0.267767,0.477706,1.10533,0.442714,0.345878,-0.269797,0.782037
1.32855,5.74371,-0.145883,-5.59583,-2.87525,-2.08962,0.164921,0.924693,0.73741,-0.615667,0.348163,0.706908,-0.00429879
2.68361,1.78171,5.78863,-5.25233,1.65781,5.67778,0.0487036,-0.206875,-0.97086,0.130717,-0.342798,-0.595464,0.71472
-0.599824,1.16522,1.12853,2.45502,-1.689,3.4028,0.0733453,0.144169,-0.930894,-0.0193047,0.0586928,0.347826,0.935521
1.68864,1.03959,-5.81886,2.99171,-3.30881,4.66426,-0.113068,0.451287,-0.873118,0.466733,0.602853,-0.436504,-0.477695
1.87372,2.62577,2.49943,-5.98166,-2.77626,-0.449043,0.00939747,-0.248941,0.292048,-0.326017,-0.508679,0.467749,0.645112
2.93151,5.3279,-0.371784,-0.710319,-5.47272,-4.41808,-0.601473,-0.131943,1.36495,0.906257,-0.0476722,-0.117801,-0.403172
-1.23613,5.72712,-5.58497,-0.426399,0.98517,1.34117,0.623752,-1.06736,0.335342,-0.383834,-0.68522,-0.0746429,0.61447
-2.29307,6.23776,-5.95633,-2.29129,-0.840123,-0.45722,-0.674694,-1.14683,0.0221667,-0.176669,0.362966,0.913874,0.0433345
2.25771,5.43233,4.21194,-3.25218,2.34587,-1.20964,-0.0182469,-0.12376,0.637613,-0.431521,-0.524371,0.606895,-0.41292
